lon,lat,address,sheng,shi,xian,xiangzhen,cun,goods_made,geocodeAdd
120.924092,31.23402,"dashicun, kunshan, suzhou, jiangsu, china",江苏省,苏州市,昆山市,张浦镇,大市村,袜子、服饰配件,江苏省大市村
121.031659,31.55598,"taixicun, taicang, suzhou, jiangsu, china",江苏省,苏州市,太仓市,沙溪镇,泰西村,鞋,江苏省泰西村
120.636026,31.490959,"zhuangjicun, xiangcheng, suzhou, jiangsu, china",江苏省,苏州市,相城区,北桥街道,庄基村,奶粉、家具,江苏省庄基村
116.738831,34.617718000000004,"zhangzhuangcun, fengxian, xuzhou, jiangsu, china",江苏省,苏州市,相城区,黄桥街道,张庄村,家具,江苏省张庄村
120.799156,31.512855,"xiaojingcun, xiangcheng, suzhou, jiangsu, china",江苏省,苏州市,相城区,阳澄湖镇,消泾村,大闸蟹,江苏省消泾村
120.343774,31.753317,"huangtangcun, jiangyin, wuxi, jiangsu, china",江苏省,无锡市,江阴市,徐霞客镇,璜塘村,防辐射服装,江苏省璜塘村
120.372837,31.81369,"changshoucun, jiangyin, wuxi, jiangsu, china",江苏省,无锡市,江阴市,周庄镇,长寿村,箱包,江苏省长寿村
118.643248,34.195265,"jieqiaocun, shuyang, suqian, jiangsu, china",江苏省,宿迁市,沭阳县,新河镇,解桥村,糕点,江苏省解桥村
118.663738,34.164129,"zhouquancun, shuyang, suqian, jiangsu, china",江苏省,宿迁市,沭阳县,新河镇,周圈村,花卉,江苏省周圈村
118.647992,34.162677,"yanxiacun, shuyang, suqian, jiangsu, china",江苏省,宿迁市,沭阳县,颜集镇,堰下村,花卉,江苏省堰下村
120.881067,31.361295,"dazhongcun, kunshan, suzhou, jiangsu, china, 215121",江苏省,宿迁市,宿城区,耿车镇,大众村,家具,江苏省大众村
118.093844,33.87946,"dingchencun, suining, xuzhou, jiangsu, china",江苏省,徐州市,睢宁县,沙集镇,丁陈村,家具,江苏省丁陈村
118.152035,33.890225,"suining, xuzhou, jiangsu, china",江苏省,徐州市,睢宁县,沙集镇,东风村,家具,江苏省东风村
118.344746,33.718269,"xiaweicun, sucheng, suqian, jiangsu, china",江苏省,徐州市,睢宁县,沙集镇,夏圩村,家具,江苏省夏圩村
118.133259,33.921262,"xingguocun, suining, xuzhou, jiangsu, china",江苏省,徐州市,睢宁县,沙集镇,兴国村,家具,江苏省兴国村
118.1649,33.85442,"zhumiaocun, suining, xuzhou, jiangsu, china",江苏省,徐州市,睢宁县,沙集镇,朱庙村,家具,江苏省朱庙村
118.309706,34.377078,"xinduancun, xinyi, xuzhou, jiangsu, china, 221400",江苏省,徐州市,新沂市,墨河街道,新段村,皮革,江苏省新段村
NA,NA,NA,江苏省,扬州市,邗江区,西湖镇,金槐村,毛绒玩具,江苏省金槐村
NA,NA,NA,山东省,滨州市,博兴县,博兴镇,顾家村,手织粗布,山东省顾家村
118.143994,37.072274,"anchaicun, boxing, binzhou, shandong, china",山东省,滨州市,博兴县,锦秋街道,安柴村,草柳编制品,山东省安柴村
118.117504,37.10653,"mengqiaocun, boxing, binzhou, shandong, china",山东省,滨州市,博兴县,锦秋街道,孟桥村,草柳编制品,山东省孟桥村
119.879341,36.63828,"nanchenjiacun, pingdu, qingdao, shandong, china",山东省,滨州市,博兴县,锦秋街道,南陈家村,草柳编制品,山东省南陈家村
120.085579,36.852828,"wantoucun, pingdu, qingdao, shandong, china",山东省,滨州市,博兴县,锦秋街道,湾头村,草编产品,山东省湾头村
120.744051,36.831366,"yuanzhuangcun, laiyang, yantai, shandong, china",山东省,滨州市,博兴县,锦秋街道,院庄村,草柳编制品,山东省院庄村
NA,NA,NA,山东省,菏泽市,曹县,安才楼镇,火神台村,数码配件,山东省火神台村
116.245326,35.742783,"dingloucun, liangshan, jining, shandong, china",山东省,菏泽市,曹县,大集乡,丁楼村,演出服饰,山东省丁楼村
115.643432,34.697817,"fuhaicun, caoxian, heze, shandong, china",山东省,菏泽市,曹县,大集乡,付海村,数码配件、演出服饰,山东省付海村
117.440895,36.782477,"libazhuangcun, zhangqiu, jinan, shandong, china",山东省,菏泽市,曹县,大集乡,李八庄村,数码配件、演出服饰,山东省李八庄村
116.372543,35.735931,"liuloucun, wenshang, jining, shandong, china",山东省,菏泽市,曹县,大集乡,刘楼村,演出服饰,山东省刘楼村
116.085425,35.372073,"sunzhuangcun, juye, heze, shandong, china, 274900",山东省,菏泽市,曹县,大集乡,孙庄村,演出服饰,山东省孙庄村
116.863336,35.587389,"zhangzhuangcun, qufu, jining, shandong, china",山东省,菏泽市,曹县,大集乡,张庄村,演出服饰,山东省张庄村
103.994972,30.757716,"linwancun, pixian, chengdu, sichuan, china",四川省,成都市,郫县,安靖镇,林湾村,仓储货架,四川省林湾村
104.032046,30.755492,"tudicun, pixian, chengdu, sichuan, china, 611731",四川省,成都市,郫县,安靖镇,土地村,女装,四川省土地村
116.941855,39.243861,"yijiecun, wuqing, tianjin, china",天津市,市辖区,武清区,王庆坨镇,一街村,自行车及零配件,天津市一街村
119.171442,30.181076,"bainiucun, lin'an, hangzhou, zhejiang, china",浙江省,杭州市,临安市,昌化镇,白牛村,坚果炒货,浙江省白牛村
118.957226,30.161973,"maxiaocun, lin'an, hangzhou, zhejiang, china, 311323",浙江省,杭州市,临安市,清凉峰镇,马啸村,山核桃,浙江省马啸村
118.4880949,28.8824626,"xindu e ave, changshan xian, quzhou shi, zhejiang sheng, china",浙江省,杭州市,临安市,清凉峰镇,新都村,坚果炒货,浙江省新都村
119.003865,30.146281,"yupingcun, lin'an, hangzhou, zhejiang, china, 311323",浙江省,杭州市,临安市,清凉峰镇,玉屏村,坚果炒货,浙江省玉屏村
119.614311,29.84259,"hengcunzhen, tonglu, hangzhou, zhejiang, china",浙江省,杭州市,桐庐县,横村镇,横村,健身器材,浙江省横村
120.238283,30.861968,"dahecun, wuxing, huzhou, zhejiang, china",浙江省,湖州市,吴兴区,织里镇,大河村,童装,浙江省大河村
121.593398,29.803699,"hexicun, yinzhou, ningbo, zhejiang, china, 315000",浙江省,湖州市,吴兴区,织里镇,河西村,童装,浙江省河西村
120.248505,30.854955,"qinjiagangcun, wuxing, huzhou, zhejiang, china",浙江省,湖州市,吴兴区,织里镇,秦家港村,童装,浙江省秦家港村
121.297955,28.228257,"sanliancun, yuhuan, taizhou, zhejiang, china",浙江省,嘉兴市,海宁市,斜桥镇,三联村,皮草,浙江省三联村
120.800473,27.87736,"china, zhejiang, wenzhou, longwan, 永强大道",浙江省,嘉兴市,海宁市,许村镇,永福村,窗帘、沙发配饰,浙江省永福村
120.548314,30.467492,"guodiancun, haining, jiaxing, zhejiang, china",浙江省,嘉兴市,海宁市,盐官镇,郭店村,皮草,浙江省郭店村
120.445085,30.431777,"laozhuangcun, haining, jiaxing, zhejiang, china",浙江省,嘉兴市,海宁市,长安镇,老庄村,皮草,浙江省老庄村
120.426337,30.393734,"yancangcun, haining, jiaxing, zhejiang, china",浙江省,嘉兴市,海宁市,长安镇,盐仓村,皮衣,浙江省盐仓村
NA,NA,NA,浙江省,嘉兴市,海盐县,百步镇,横港村,卫浴用品,浙江省横港村
119.643206,28.558417,"sangangcun, wuyi, jinhua, zhejiang, china",浙江省,嘉兴市,平湖市,当湖街道,三港村,羽绒服,浙江省三港村
121.080973,30.752896,"qiangangcun, pinghu, jiaxing, zhejiang, china",浙江省,嘉兴市,平湖市,广陈镇,前港村,羽绒服,浙江省前港村
120.333723,30.159551,"chengjiaocun, xiaoshan, hangzhou, zhejiang, china, 311203",浙江省,嘉兴市,桐乡市,崇福镇,城郊村,皮草,浙江省城郊村
120.30642,30.415739,"linping, dong'ancun, yuhang, hangzhou, zhejiang, china, 311100",浙江省,嘉兴市,桐乡市,崇福镇,东安村,皮草,浙江省东安村
120.424766,30.584646,"gaoyangcun, tongxiang, jiaxing, zhejiang, china, 314512",浙江省,嘉兴市,桐乡市,石门镇,羔羊村,鞋,浙江省羔羊村
120.392812,30.57859,"qingshicun, tongxiang, jiaxing, zhejiang, china",浙江省,嘉兴市,桐乡市,洲泉镇,青石村,蚕丝被,浙江省青石村
120.32652,30.545445,"yimacun, tongxiang, jiaxing, zhejiang, china",浙江省,嘉兴市,桐乡市,洲泉镇,义马村,蚕丝被,浙江省义马村
120.253611,29.063471,"fangjuncun, dongyang, jinhua, zhejiang, china",浙江省,金华市,东阳市,南马镇,防军村,木雕,浙江省防军村
119.935088,28.857352,"louwangcun, wuyi, jinhua, zhejiang, china",浙江省,金华市,武义县,桐琴镇,楼王村,五金工具,浙江省楼王村
121.384037,28.461056,"louxiazhangcun, wenling, taizhou, zhejiang, china",浙江省,金华市,义乌市,稠江街道,楼下张村,零食,浙江省楼下张村
NA,NA,NA,浙江省,金华市,义乌市,稠江街道,新屋村,居家用品,浙江省新屋村
120.143043,29.304879,"hou'ercun, yiwu, jinhua, zhejiang, china",浙江省,金华市,义乌市,江东街道,候儿村,日用品、玩具,浙江省候儿村
120.088263,29.284127,"qingyanliucun, yiwu, jinhua, zhejiang, china, 322000",浙江省,金华市,义乌市,江东街道,青岩刘村,袜子、女装,浙江省青岩刘村
NA,NA,NA,浙江省,金华市,义乌市,江东街道,西谷村,家具、户外用品,浙江省西谷村
120.515252,27.513449,"xiawancun, cangnan, wenzhou, zhejiang, china",浙江省,金华市,义乌市,江东街道,下湾村,户外用品、饰品,浙江省下湾村
NA,NA,NA,浙江省,金华市,永康市,江南街道,下楼村,生活电器、家具,浙江省下楼村
120.089606,28.8555,"xialixicun, yongkang, jinhua, zhejiang, china",浙江省,金华市,永康市,石柱镇,下里溪村,生活电器,浙江省下里溪村
NA,NA,NA,浙江省,金华市,永康市,象珠镇,派溪吕村,家具,浙江省派溪吕村
120.029328,28.070652,"beishancun, qingtian, lishui, zhejiang, china",浙江省,丽水市,缙云县,壶镇,北山村,户外用品,浙江省北山村
NA,NA,NA,浙江省,丽水市,龙泉市,剑池街道,南秦村,青瓷、宝剑,浙江省南秦村
NA,NA,NA,浙江省,丽水市,龙泉市,龙渊街道,村头村,内衣、刀剑、青瓷,浙江省村头村
120.044973,27.651727,"xishancun, wencheng, wenzhou, zhejiang, china",浙江省,丽水市,松阳县,大东坝镇,西山村,家具,浙江省西山村
NA,NA,NA,浙江省,丽水市,松阳县,古市镇,筏铺村,服饰、茶叶,浙江省筏铺村
121.478156,29.887043,"xiufengcun, yinzhou, ningbo, zhejiang, china, 315000",浙江省,宁波市,鄞州区,高桥镇,秀丰村,贺卡、明信片,浙江省秀丰村
121.478981,29.73483,"maoshancun, yinzhou, ningbo, zhejiang, china, 315504",浙江省,宁波市,鄞州区,姜山镇,茅山村,地毯,浙江省茅山村
120.21326,29.672805,"qiucun, zhuji, shaoxing, zhejiang, china",浙江省,绍兴市,诸暨市,暨阳街道,邱村,袜子,浙江省邱村
NA,NA,NA,浙江省,台州市,黄岩区,新前街道,前洋村,家具,浙江省前洋村
121.524273,29.579552,"dongxiecun, fenghua, ningbo, zhejiang, china",浙江省,台州市,三门县,高枧乡,东谢村,道路减速带,浙江省东谢村
121.896116,29.409699,"dongchencun, xiangshan, ningbo, zhejiang, china",浙江省,台州市,天台县,坦头镇,东陈村,汽车用品,浙江省东陈村
